ID,NOM,VILLE,ETAT,LATITUDE,LONGITUDE,A_DISTANCE_SEULEMENT,NOMBRE_ETUDIANTS,AGE_ENTREE,COUT_MOYEN_ANNEE_ACADEMIE,TAUX_ADMISSION,DEFAUT_PAIEMENT_2ANNEES,DEFAUT_PAIEMENT_3ANNEES
2305800,Florida Career College-Miami,Miami,FL,25.756567,-80.36778,0.0,2931,29.342384993,,,0.161,0.092
4129900,Florida School of Massage,Gainesville,FL,29.593428,-82.338273,0.0,109,30.745192308,,,0.142,0.12
148800,Florida Southern College,Lakeland,FL,28.032443,-81.948203,0.0,599,21.217206133,49296.0,0.5023,0.063,0.042
148900,Florida State University,Tallahassee,FL,30.440756,-84.291921,0.0,5875,20.6220056,21623.0,0.3678,0.05,0.024
2218700,Florida Technical College,Orlando,FL,28.573275,-81.196503,0.0,,29.42445892,19611.0,,0.093,0.083
153500,University of Florida,Gainesville,FL,29.64629,-82.347911,0.0,5184,21.401052858,21034.0,0.3875,0.031,0.015
2338400,Fort Pierce Beauty Academy,Fort Pierce,FL,27.411962,-80.325377,0.0,188,28.901538462,,,0.0,0.0
2362100,Full Sail University,Winter Park,FL,28.596546,-81.301286,0.0,7863,25.938888889,33965.0,,0.136,0.13
2307400,George Stone Technical College,Pensacola,FL,30.487547,-87.290659,0.0,205,29.15282392,,,0.0,
3079800,George T Baker Aviation Technical College,Miami,FL,25.804092,-80.263591,0.0,207,23.531343284,,,,
149000,Gulf Coast State College,Panama City,FL,30.185542,-85.727918,0.0,1344,25.028927681,8680.0,,0.154,0.147
787000,Hillsborough Community College,Tampa,FL,27.934888,-82.456253,0.0,7890,24.63183396,9347.0,,0.106,0.037
2188900,Hobe Sound Bible College,Hobe Sound,FL,27.066304,-80.13184,0.0,51,26.239130435,14314.0,,0.078,0.062
4162500,Hollywood Institute of Beauty Careers,Hollywood,FL,26.007139,-80.209125,0.0,564,29.162639405,,,0.1,0.137
2279600,Cortiva Institute-Florida,St. Petersburg,FL,27.793547,-82.680031,0.0,346,29.856960409,,,0.067,0.166
149300,Indian River State College,Fort Pierce,FL,27.42416,-80.358682,0.0,3262,23.996579442,6419.0,,0.137,0.092
2257900,International Academy,South Daytona,FL,29.162159,-80.997811,0.0,170,29.809701493,,,0.195,0.072
887800,AI Miami International University of Art and Design,Miami,FL,25.790008,-80.18839,0.0,2252,24.937828371,25650.0,,0.124,0.113
149500,Jacksonville University,Jacksonville,FL,30.353227,-81.60458,0.0,744,26.625,52073.0,0.8993,0.048,0.02
2151900,Keiser University-Ft Lauderdale,Fort Lauderdale,FL,26.185869,-80.163959,0.0,8322,28.921110852,36356.0,,0.107,0.064
2287100,La Belle Beauty School,Hialeah,FL,25.86695,-80.312711,0.0,157,33.150877193,,,0.052,0.042
150100,Florida Gateway College,Lake City,FL,30.175298,-82.5679,0.0,603,26.452419355,9521.0,,0.136,0.113
2228300,Lake Technical College,Eustis,FL,28.833446,-81.690874,0.0,249,27.002457002,,,0.0,
150200,Lake-Sumter State College,Leesburg,FL,28.828649,-81.797193,0.0,836,23.595979248,9383.0,,0.088,0.089
755800,Fort Myers Technical College,Fort Myers,FL,26.647517,-81.836596,0.0,227,26.489361702,,,0.0,
558500,Lively Technical College,Tallahassee,FL,30.448534,-84.339057,0.0,365,26.671368124,,,0.0,0.0
558600,Lindsey Hopkins Technical College,Miami,FL,25.794676,-80.208154,0.0,277,28.828507795,,,0.0,
